OID_,FID_Garage_Points_buffered,OID1,CIT_CODE,FAC_CODE,LotName,AggieMap,Name,LotType,ORIG_FID,X,Y,BUFF_DIST,FID_Buildings,Number,Abbrev,Private,Type,Bldg,BldgAbbr,BldgName,YearBuilt,NumFloors,Address,City,Zip,MapDisplay,Shape_Length,Shape_Area
-1,4,,20500,WCG,West Campus Garage,1,WCG,Garage Visitor,4,-96.344260000000006,30.608490000000000,1500.000000000000000,1382,PB10,PW K,Yes,HOUSING PVT,PB10,PWK,Park West K,,,"503 George Bush Dr W, Ste K",College Station,77840,Park West K | PW K | PB10,135.823910524276329,660.940046105566353
-1,4,,20500,WCG,West Campus Garage,1,WCG,Garage Visitor,4,-96.344260000000006,30.608490000000000,1500.000000000000000,1383,PB11,PW L,Yes,HOUSING PVT,PB11,PWL,Park West L,,,"503 George Bush Dr W, Ste L",College Station,77840,Park West L | PW L | PB11,135.827289181485753,661.009624723547404
-1,4,,20500,WCG,West Campus Garage,1,WCG,Garage Visitor,4,-96.344260000000006,30.608490000000000,1500.000000000000000,1384,PB12,PW M,Yes,HOUSING PVT,PB12,PWM,Park West M,,,"503 George Bush Dr W, Ste M",College Station,77840,Park West M | PW M | PB12,135.823875648426508,660.940362694181886
-1,4,,20500,WCG,West Campus Garage,1,WCG,Garage Visitor,4,-96.344260000000006,30.608490000000000,1500.000000000000000,1385,PB13,PW N,Yes,HOUSING PVT,PB13,PWN,Park West N,,,"503 George Bush Dr W, Ste N",College Station,77840,Park West N | PW N | PB13,135.827130702592029,661.009881510434411
-1,4,,20500,WCG,West Campus Garage,1,WCG,Garage Visitor,4,-96.344260000000006,30.608490000000000,1500.000000000000000,1386,PB14,PW P,Yes,HOUSING PVT,PB14,PWP,Park West P,,,"503 George Bush Dr W, Ste P",College Station,77840,Park West P | PW P | PB14,135.827271824099967,661.009536279398390
-1,4,,20500,WCG,West Campus Garage,1,WCG,Garage Visitor,4,-96.344260000000006,30.608490000000000,1500.000000000000000,1387,PB15,PW Q,Yes,HOUSING PVT,PB15,PWQ,Park West Q,,,"503 George Bush Dr W, Ste Q",College Station,77840,Park West Q | PW Q | PB15,135.824157792468952,660.941067497724021
-1,6,,20600,CAG,Cain Garage,1,CAIN,Garage Visitor,6,-96.343549999999993,30.611490000000000,1500.000000000000000,2, ,,No,UNIVERSITY,,,,,,,,, |  | ,17.807605401710894,19.175363289744350
-1,6,,20600,CAG,Cain Garage,1,CAIN,Garage Visitor,6,-96.343549999999993,30.611490000000000,1500.000000000000000,216,0991,,No,UNIVERSITY,0991,,VMP Shop,1968,01,633 Turk Rd,College Station,77843,VMP Shop |  | 0991,84.317699382537754,444.771921300882639
-1,6,,20600,CAG,Cain Garage,1,CAIN,Garage Visitor,6,-96.343549999999993,30.611490000000000,1500.000000000000000,801,1008,VMB3,No,UNIVERSITY,1008,VMB3,TVMC-Barn No 3,1957,01,645 Turk Rd,College Station,77843,TVMC-Barn No 3 | VMB3 | 1008,27.025186504976375,25.088407768982513
-1,6,,20600,CAG,Cain Garage,1,CAIN,Garage Visitor,6,-96.343549999999993,30.611490000000000,1500.000000000000000,828,0992,,No,UNIVERSITY,0992,,TVMC-Experimental Animal Building,1970,01,605 Turk Rd,College Station,77843,TVMC-Experimental Animal Building |  | 0992,29.564914935909648,36.650577770323252
